Song Title;Streams;Daily
Superstar (Taylor’s Version);33,923,689;40,812
willow - dancing witch version (Elvira remix);33,796,273;29,505
Invisible;32,987,092;33,595
Stay Beautiful;32,914,974;33,473
Eyes Open (Taylor's Version);32,740,146;59,77
The Moment I Knew;31,712,116;3,671
Tied Together with a Smile;31,368,772;34,819
Teardrops on My Guitar - Pop Version;31,313,222;34,165
Today Was A Fairytale - US Version;30,895,682;9,265
Tell Me Why;30,862,902;8,702
Last Christmas;30,031,660;6,714
The Outside;28,027,601;36,255
Anti-Hero - Acoustic Version;26,924,440;31,661
Forever & Always - Piano Version;26,853,187;6,049
Change;26,526,119;7,732
Superman;25,294,319;5,347
Jump Then Fall;25,058,882;6,564
...Ready For It? - BloodPop® Remix;24,355,314;12,068
A Perfectly Good Heart;24,123,956;26,987
Anti-Hero - Kungs Remix;23,753,197;36,898
State Of Grace - Acoustic;23,644,453;3,112
Haunted - Acoustic Version;23,623,553;11,89
Daylight - Live From Paris;23,196,184;27,043
Girl At Home;22,804,796;3,075
Lavender Haze - Felix Jaehn Remix;22,608,561;21,866
Lover - First Dance Remix;22,480,030;18,501
Lavender Haze - Acoustic Version;22,292,611;31,874
Untouchable;22,283,416;7,122
cardigan - the long pond studio sessions;21,299,805;25,512
The Man - Live From Paris;20,330,206;8,908
my tears ricochet - the long pond studio sessions;19,928,097;28,487
Cruel Summer - Live from TS | The Eras Tour;19,680,153;62,798
Message In A Bottle (Fat Max G Remix) (Taylor’s Version);19,365,484;11,317
august - the long pond studio sessions;19,196,235;21,474
Anti-Hero (feat. Bleachers);18,806,943;24,38
this is me trying - the long pond studio sessions;18,013,657;24,92
Red - Original Demo Recording;17,419,292;2,704
"Sweeter Than Fiction - From ""One Chance"" Soundtrack";16,894,797;20,104
"Beautiful Ghosts - From The Motion Picture Soundtrack ""Cats""";16,615,015;9,769
Come In With The Rain;16,472,814;5,226
Treacherous - Original Demo Recording;16,455,233;2,033
the 1 - the long pond studio sessions;16,330,104;22,404
You Need To Calm Down - Clean Bandit Remix;15,433,937;7,89
mirrorball - the long pond studio sessions;15,283,597;20,079
The Other Side Of The Door;14,705,370;5,169
Anti-Hero - ILLENIUM Remix;14,690,230;16,227
illicit affairs - the long pond studio sessions;14,115,857;20,971
willow - lonely witch version;13,926,014;14,179
the lakes - the long pond studio sessions;13,679,410;19,993
SuperStar;13,578,325;4,227
Teardrops On My Guitar - International Mix;13,285,225;2,115
willow - 90's trend remix;13,216,940;6,682
the last great american dynasty - the long pond studio sessions;12,447,480;17,078
All Too Well (10 Minute Version) (The Short Film);12,230,789;13,929
seven - the long pond studio sessions;12,103,264;16,28
 Birch;11,996,799;13,827
 Should've Said No - The 3D Concert Experience;11,712,140;1,584
invisible string - the long pond studio sessions;11,569,375;16,184
Back To December/Apologize/You're Not Sorry - Live/2011/Medley;11,558,934;8,123
Santa Baby;11,514,659;2,624
betty - the long pond studio sessions;11,501,020;15,77
Drops Of Jupiter - Live/2011;11,469,182;7,4
Lavender Haze - Snakehips Remix;11,410,834;17,76
Cruel Summer - LP Giobbi Remix;11,316,988;62,495
 Renegade - Pop Version;11,118,287;16,631
hoax - the long pond studio sessions;10,871,294;15,537
Wildest Dreams - R3hab Remix;10,158,630;10,047
The Archer - Live From Paris;10,112,928;13,084
Lover - Live From Paris;9,727,997;9,925
peace - the long pond studio sessions;9,678,767;14,324
mad woman - the long pond studio sessions;9,598,073;13,616
Love Story - Digital Dog Remix;9,414,855;5,268
betty - Live from the 2020 Academy of Country Music Awards;9,380,403;5,277
Christmas Tree Farm (Old Timey Version);9,377,162;1,903
"Carolina - ""Where The Crawdads Sing"" - Video Edition";9,005,251;7,568
epiphany - the long pond studio sessions;8,954,714;12,18
Sparks Fly - Live/2011;8,706,801;4,207
Bette Davis Eyes - Live/2011;7,998,444;4,483
willow - moonlit witch version;7,939,101;7,85
Enchanted - Live/2011;7,523,183;4,412
Christmases When You Were Mine;7,181,784;4,421
Delicate - Sawyr And Ryan Tedder Mix;7,041,274;4,389
The Story Of Us - Live;6,794,350;3,639
You Need To Calm Down - Live From Paris;6,790,575;7,789
Mean - Live/2011;6,735,543;3,436
Mine - Live/2011;6,723,476;3,451
ME! - Live From Paris;6,674,321;7,478
Anti-Hero - Jayda G Remix;6,620,664;8,559
Christmas Must Be Something More;6,574,623;2,619
Ronan;6,529,819;3,183
I Want You Back - Live/2011;6,466,135;6,145
Ours - Live/2011;6,360,977;3,044
Dear John - Live/2011;6,351,759;3,761
Better Than Revenge - Live/2011;6,292,430;3,977
Long Live - Live/2011;6,037,442;4,141
I Know Places - Voice Memo;5,923,278;645
White Christmas;5,918,065;2,212
Speak Now - Live/2011;5,840,524;3,298
Last Kiss - Live/2011;5,810,012;3,387
Haunted - Live/2011;5,696,406;3,906
Our Song - International Mix;5,597,361;1,036
Silent Night;5,526,257;2,875
Blank Space - Voice Memo;4,803,223;664
 Big Star (with Taylor Swift) - Live;4,670,607;4,607
I Wish You Would - Voice Memo;4,523,251;570
Love Story - Pop Mix;3,993,372;1,178
"Macavity - From The Motion Picture Soundtrack ""Cats""";3,291,349;2,523
Anti-Hero - Roosevelt Remix;2,982,858;4,817
Lavender Haze - Tensnake Remix;2,844,660;5,513
Love Story - Live From Clear Channel Stripped 2008;2,084,276;1,541
You're Not Sorry - CSI Remix;2,019,370;1,156
Lavender Haze - Jungle Remix;1,988,930;4,004
Christmas Tree Farm - Recorded Live at the 2019 iHeartRadio Jingle Ball;1,939,116;806
Beautiful Eyes - Live From Clear Channel Stripped 2008;1,651,043;2,032
Love Story - J Stax Radio Mix;1,324,265;147
Fearless - Live From Clear Channel Stripped 2008;1,119,940;1,38
Should've Said No - Live From Clear Channel Stripped 2008;720,621;739
Teardrops On My Guitar - Live From Clear Channel Stripped 2008;716,403;683
Picture To Burn - Live From Clear Channel Stripped 2008;688,775;687
Untouchable - Live From Clear Channel Stripped 2008;681,786;929
Blank Space - Karaoke Version;595,597;228
Don't Blame Me - Karaoke Version;571,254;392
Style - Karaoke Version;534,029;363
...Ready For It? - Karaoke Version;533,333;386
Look What You Made Me Do - Karaoke Version;510,719;375
Change - Live From Clear Channel Stripped 2008;505,424;519
Hey Stephen - Commentary;481,493;212
All Too Well - Commentary;464,919;235
Delicate - Karaoke Version;448,96;185
Shake It Off - Karaoke Version;405,957;309
I Did Something Bad - Karaoke Version;372,081;143
We Are Never Ever Getting Back Together - Commentary;364,749;210
Getaway Car - Karaoke Version;362,193;124
I Knew You Were Trouble. - Commentary;362,156;200
I Almost Do - Commentary;359,079;201
State Of Grace - Commentary;353,419;222
Breathe - Commentary;353,078;174
Stay Stay Stay - Commentary;348,978;200
22 - Commentary;342,467;214
Treacherous - Commentary;337,705;199
Love Story - Instrumental with BGV;329,812;241
Wildest Dreams - Karaoke Version;328,265;223
Call It What You Want - Karaoke Version;327,746;165
Red - Commentary;325,868;220
Welcome To New York - Karaoke Version;316,014;108
Out Of The Woods - Karaoke Version;311,791;89
You Belong With Me - Commentary;311,258;170
Style - Commentary;307,053;149
End Game - Karaoke Version;305,743;113
Cruel Summer - LP Giobbi Remix - Extended Version;300,766;2,178
Love Story - Commentary;290,38;153
The Last Time - Commentary;289,141;191
Gorgeous - Karaoke Version;288,735;113
White Horse - Commentary;286,641;172
Out Of The Woods - Commentary;282,608;161
Tell Me Why - Commentary;282,454;155
Dancing With Our Hands Tied - Karaoke Version;281,891;104
Starlight - Commentary;278,318;209
Holy Ground - Commentary;276,423;201
Begin Again - Commentary;275,672;205
Sad Beautiful Tragic - Commentary;275,31;187
Everything Has Changed - Commentary;274,221;217
New Year's Day - Karaoke Version;272,074;264
Blank Space - Commentary;269,999;143
Welcome to New York - Commentary;269,496;158
King Of My Heart - Karaoke Version;265,609;80
The Lucky One - Commentary;265,07;214
Shake It Off - Commentary;263,976;129
Fearless - Instrumental with BGV;261,351;94
You Belong With Me - Instrumental with BGV;260,706;154
Enchanted - Instrumental With Background Vocals;256,828;259
All You Had To Do Was Stay - Commentary;256,391;142
Bad Blood - Karaoke Version;254,619;107
I Knew You Were Trouble. - Karaoke Version;253,438;82
This Is Why We Can't Have Nice Things - Karaoke Version;252,804;112
